position,proba to win
'01230,0.962460939417667
'01245,0.1324780864197531
'01244,0.3621430812757202
'01243,0.591754238254458
'01242,0.7655332220864768
'01241,0.876172060733644
'01240,0.938748733769456
'01305,0.25462962962962965
'01304,0.5474537037037037
'01303,0.7594521604938271
'01302,0.8831286436899862
'01301,0.9467130433384774
'01300,0.9768107152170495
'01315,0.22362962962962962
'01314,0.5096037037037038
'01313,0.7315038271604937
'01312,0.8669487825788751
'01311,0.9386193500514404
'01310,0.973137255267204
'01325,0.17927407407407409
'01324,0.4443988888888889
'01323,0.67515012345679
'01322,0.8295473206447188
'01321,0.917508375840192
'01320,0.962460939417667
'01335,0.13742555555555555
'01334,0.37242305555555555
'01333,0.6038657731481482
'01332,0.7761866518261316
'01331,0.8839628017926954
'01330,0.9437584012457219
'01345,0.10358196604938272
'01344,0.3058086118312758
'01343,0.5295610681695816
'01342,0.7143315130017718
'01341,0.8411632515446821
'01340,0.9177191216095556
'01405,0.17669753086419754
'01404,0.43312757201646096
'01403,0.6581039951989026
'01402,0.812766132258802
'01401,0.9045620769866446
'01400,0.9539402781151565
'01415,0.16013086419753086
'01414,0.40911868312757205
'01413,0.637666865569273
'01412,0.7994193390489255
'01411,0.897156438625019
'01410,0.9502623010779481
'01425,0.1324780864197531
'01424,0.36214308127572015
'01423,0.591754238254458
'01422,0.7655332220864768
'01421,0.876172060733644
'01420,0.938748733769456
'01435,0.10358196604938272
'01434,0.30580861183127567
'01433,0.5295610681695816
'01432,0.7143315130017718
'01431,0.8411632515446821
'01430,0.9177191216095556
'01445,0.07873627453703705
'01444,0.2511499808410494
'01443,0.4623226684485597
'01442,0.6532809450005057
'01441,0.7955165778647336
'01440,0.8879504210594653
'02005,0.4444444444444444
'02004,0.7407407407407408
'02003,0.8888888888888888
'02002,0.9547325102880658
'02001,0.9821673525377229
'02000,0.9931412894375858
'02015,0.3611111111111111
'02014,0.6712962962962963
'02013,0.8501157407407407
'02012,0.936599794238683
'02011,0.9744955096879286
'02010,0.9900957272376543
'02025,0.2708333333333333
'02024,0.5711805555555556
'02023,0.7803819444444444
'02022,0.8975453317901234
'02021,0.9552579652134774
'02020,0.9813862867316101
'02035,0.19907407407407407
'02034,0.4722222222222222
'02033,0.6981095679012346
'02032,0.8440822187928669
'02031,0.9253277981395747
'02030,0.9662277717049611
'02045,0.14371141975308643
'02044,0.38032085905349794
'02043,0.6086609975137174
'02042,0.7773978918395633
'02041,0.8831538912763393
'02040,0.9423874282003546
'02105,0.3611111111111111
'02104,0.6712962962962963
'02103,0.8501157407407407
'02102,0.936599794238683
'02101,0.9744955096879286
'02100,0.9900957272376543
'02115,0.3044444444444444
'02114,0.6147407407407408
'02113,0.8145055555555555
'02112,0.9184913991769547
'02111,0.9663609405006859
'02110,0.9867227479252401
'02125,0.2368333333333333
'02124,0.5304472222222223
'02123,0.7508691666666666
'02122,0.8807777391975307
'02121,0.9470237051826131
'02120,0.9777156471379888
'02135,0.17927407407407409
'02134,0.44439888888888895
'02133,0.67515012345679
'02132,0.8295473206447188
'02131,0.917508375840192
'02130,0.962460939417667
'02145,0.1324780864197531
'02144,0.3621430812757202
'02143,0.591754238254458
'02142,0.7655332220864768
'02141,0.876172060733644
'02140,0.938748733769456
'02205,0.2708333333333333
'02204,0.5711805555555556
'02203,0.7803819444444444
'02202,0.8975453317901234
'02201,0.9552579652134774
'02200,0.9813862867316101
'02215,0.2368333333333333
'02214,0.5304472222222223
'02213,0.7508691666666666
'02212,0.8807777391975307
'02211,0.9470237051826131
'02210,0.9777156471379888
'02225,0.18946666666666664
'02224,0.46225111111111117
'02223,0.6931455555555555
'02222,0.8432513024691357
'02221,0.9262692246399176
'02220,0.9674263626383744
'02235,0.1474962962962963
'02234,0.3921592592592593
'02233,0.6257501234567902
'02232,0.7942694739368998
'02231,0.8963649349794238
'02230,0.9512279078183014
'02245,0.11198975308641974
'02244,0.32411888683127577
'02243,0.5518255220507544
'02242,0.7342861828195015
'02241,0.8558720348491274
'02240,0.9271650636049283
'02305,0.19907407407407407
'02304,0.4722222222222222
'02303,0.6981095679012346
'02302,0.8440822187928669
'02301,0.9253277981395747
'02300,0.9662277717049611
'02315,0.17927407407407409
'02314,0.44439888888888895
'02313,0.67515012345679
'02312,0.8295473206447188
'02311,0.917508375840192
'02310,0.962460939417667
'02325,0.1474962962962963
'02324,0.39215925925925926
'02323,0.6257501234567902
'02322,0.7942694739368998
'02321,0.8963649349794238
'02320,0.9512279078183014
'02335,0.11598288888888889
'02334,0.3329767444444445
'02333,0.5628185775925927
'02332,0.7443627302458848
'02331,0.8634840673953704
'02330,0.9321852384191992
'02345,0.08950749938271604
'02344,0.2770776973868313
'02343,0.4968202885584705
'02342,0.6868326889743026
'02341,0.8221672220317705
'02340,0.9062843768169305
'02405,0.14371141975308643
'02404,0.38032085905349794
'02403,0.6086609975137174
'02402,0.7773978918395633
'02401,0.8831538912763393
'02400,0.9423874282003546
'02415,0.1324780864197531
'02414,0.36214308127572015
'02413,0.591754238254458
'02412,0.7655332220864768
'02411,0.876172060733644
'02410,0.938748733769456
'02425,0.11198975308641974
'02424,0.3241188868312757
'02423,0.5518255220507544
'02422,0.7342861828195015
'02421,0.8558720348491274
'02420,0.9271650636049283
